method	recall	p50_ms	p95_ms	candidates_visited	candidates_scored	lists_probed
exact	1.0	24.258625	48.692958	26345.8984375	26345.8984375	0.0
ivf_prefilter	0.9734375000000001	7.261833	15.516625	4747.58984375	4747.58984375	128.0
hybrid	0.9828125	7.261833	15.516625	4754.203125	4754.203125	122.0
hybrid_broad	0.990506329113924	10.008625	16.595833	7314.981012658228	7314.981012658228	128.0
hybrid_medium	0.9662790697674419	1.211292	2.008292	687.0581395348837	687.0581395348837	128.0
hybrid_rare	1.0	0.154416	0.261167	185.16666666666666	185.16666666666666	0.0
