query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.29941	broad	0.046506405	4	1	4	16	16	16
2	0.01163	medium	0.13128567	6	2	6	14	14	14
3	0.52817	broad	0.015086949	5	1	8	20	20	20
4	0.52817	broad	0.002087891	4	2	4	32	32	32
5	0.03786	medium	0.036772013	9	10	38	112	112	112
6	0.03786	medium	0.053377807	8	4	63	116	116	116
7	0.03786	medium	0.016453683	6	4	45	115	115	115
8	0.29941	broad	0.08414894	4	1	11	25	25	25
9	0.1204	broad	0.002793491	5	2	7	25	25	25
10	0.03786	medium	0.059999526	3	1	2	16	16	16
11	0.1204	broad	0.02285409	5	2	5	9	9	9
12	0.03786	medium	0.00079268217	6	7	68	196	196	196
13	0.52817	broad	0.025695503	5	1	22	30	30	30
14	0.01163	medium	0.015273571	9	17	79	103	103	103
15	0.52817	broad	0.009387493	8	3	87	100	100	100
16	0.29941	broad	0.007481694	8	3	140	149	149	149
17	0.1204	broad	0.008845806	5	2	6	33	33	33
18	0.03786	medium	0.003209114	7	2	18	23	23	23
19	0.03786	medium	0.10148966	2	1	1	17	17	17
20	0.1204	broad	0.042639256	2	1	4	4	4	4
21	0.01163	medium	0.03683573	5	1	15	125	125	125
22	0.00216	rare	0.015165627	9	28	76	146	146	146
23	0.52817	broad	0.026407242	5	1	18	30	30	30
24	0.00031	rare	0.011223018	9	142	217	217	217	217
25	0.03786	medium	0.038455844	7	2	12	34	34	34
26	0.52817	broad	0.012583554	5	4	6	14	14	14
27	0.01163	medium	0.010398626	7	4	104	174	174	174
28	0.03786	medium	0.010414124	6	2	12	49	49	49
29	0.1204	broad	0.046959043	1	1	1	1	1	1
30	0.01163	medium	0.043398857	7	2	14	29	29	29
31	0.52817	broad	0.04105723	3	1	2	21	21	21
32	0.01163	medium	0.052872658	6	2	19	154	154	154
33	0.03786	medium	0.054691255	4	1	33	33	33	33
34	0.01163	medium	0.008334577	9	41	180	223	223	223
35	0.52817	broad	0.028555393	8	9	20	34	34	34
36	0.00216	rare	0.060105324	10	115	155	232	232	232
37	0.1204	broad	0.07466245	6	2	33	33	33	33
38	0.1204	broad	0.09919882	1	1	1	1	1	1
39	0.52817	broad	0.05580312	6	1	12	13	13	13
40	0.1204	broad	0.036703467	6	3	139	189	189	189
41	0.52817	broad	0.003533125	9	11	53	69	69	69
42	0.1204	broad	0.010859132	8	10	38	75	75	75
43	0.52817	broad	0.036339164	2	1	1	4	4	4
44	0.1204	broad	0.0063770413	6	2	10	36	36	36
45	0.1204	broad	0.022942722	6	2	20	42	42	42
46	0.1204	broad	0.048611045	5	3	45	45	45	45
47	0.1204	broad	0.107943654	5	4	20	20	20	20
48	0.01163	medium	0.038038373	5	3	9	35	35	35
49	0.52817	broad	0.04304135	3	1	7	7	7	7
50	0.29941	broad	0.06437051	4	1	3	8	8	8
51	0.52817	broad	0.00021713972	5	3	4	108	108	108
52	0.03786	medium	0.030332565	7	10	36	68	68	68
53	0.03786	medium	0.034313917	7	2	11	15	15	15
54	0.03786	medium	0.0064291954	8	5	36	71	71	71
55	0.52817	broad	0.018106759	8	5	13	17	17	17
56	0.29941	broad	0.06163144	1	1	1	1	1	1
57	0.1204	broad	0.03626764	5	2	15	20	20	20
58	0.01163	medium	0.1059227	6	2	16	97	97	97
59	0.01163	medium	0.08850682	9	5	33	72	72	72
60	0.01163	medium	0.018770337	8	11	222	252	252	252
61	0.29941	broad	0.02560544	4	2	14	14	14	14
62	0.29941	broad	0.052806854	4	3	8	8	8	8
63	0.1204	broad	0.012731373	7	4	17	22	22	22
64	0.29941	broad	0.03234744	4	2	5	7	7	7
65	0.1204	broad	0.032075405	6	1	13	38	38	38
