nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.31054687499999994	0.0	296.0	576.0	303.2890625	56.046875	0.003032890625
1	broad	136	0.4102941176470588	0.0	296.0	576.0	303.44117647058823	100.38235294117646	0.0030344117647058823
1	medium	90	0.23666666666666672	0.0	296.0	564.5999999999999	304.9111111111111	7.433333333333334	0.003049111111111111
1	rare	30	0.08000000000000002	0.0	296.0	462.0	297.73333333333335	0.9	0.0029773333333333327
2	all	256	0.43632812499999984	0.0	553.0	934.0	597.3203125	109.1640625	0.0059732031250000015
2	broad	136	0.5669117647058823	0.1	545.5	934.0	601.2867647058823	195.75	0.006012867647058823
2	medium	90	0.3466666666666667	0.0	562.0	920.05	602.4555555555555	14.277777777777779	0.0060245555555555564
2	rare	30	0.11333333333333334	0.0	516.5	915.6499999999999	563.9333333333333	1.3	0.005639333333333333
4	all	256	0.5687499999999999	0.0	1152.0	1737.0	1189.07421875	208.8046875	0.011890742187499997
4	broad	136	0.7198529411764706	0.1	1130.0	1702.5	1186.4191176470588	373.4264705882353	0.01186419117647059
4	medium	90	0.46777777777777774	0.0	1150.5	1793.1499999999996	1205.8666666666666	28.711111111111112	0.012058666666666667
4	rare	30	0.18666666666666665	0.0	1183.5	1429.55	1150.7333333333333	2.8	0.011507333333333333
8	all	256	0.6933593749999999	0.0	2191.5	3219.75	2287.32421875	405.0859375	0.0228732421875
8	broad	136	0.8257352941176472	0.3	2155.5	3199.5	2265.470588235294	721.1323529411765	0.02265470588235294
8	medium	90	0.63	0.0	2227.0	3296.25	2359.711111111111	60.84444444444444	0.023597111111111107
8	rare	30	0.2833333333333334	0.0	2172.5	2790.349999999999	2169.233333333333	5.066666666666666	0.02169233333333333
16	all	256	0.791015625	0.0	4524.0	5754.25	4551.58203125	805.06640625	0.0455158203125
16	broad	136	0.9058823529411768	0.4	4463.0	5769.25	4532.639705882353	1429.6470588235295	0.04532639705882353
16	medium	90	0.7444444444444445	0.2	4695.0	5736.0	4629.144444444444	126.53333333333333	0.04629144444444445
16	rare	30	0.41000000000000003	0.0	4356.0	5163.7	4404.766666666666	9.233333333333333	0.044047666666666666
32	all	256	0.881640625	0.0	8939.0	10865.75	8991.875	1600.65234375	0.08991874999999999
32	broad	136	0.9514705882352944	0.6	8915.5	10786.0	8995.095588235294	2832.7426470588234	0.08995095588235293
32	medium	90	0.8711111111111112	0.4	9082.5	10938.45	9008.433333333332	266.1333333333333	0.09008433333333331
32	rare	30	0.5966666666666668	0.0	8765.5	10758.949999999999	8927.6	18.733333333333334	0.08927600000000001
64	all	256	0.951953125	0.0	18171.5	20748.0	18267.921875	3247.98046875	0.18267921874999998
64	broad	136	0.9919117647058824	0.8	18183.0	20430.25	18193.41176470588	5735.191176470588	0.18193411764705886
64	medium	90	0.9444444444444446	0.7	18315.0	21620.549999999996	18375.31111111111	558.6444444444444	0.1837531111111111
64	rare	30	0.7933333333333332	0.0	17871.5	20623.649999999998	18283.533333333333	40.63333333333333	0.18283533333333335
128	all	256	0.9960937499999999	0.9	38242.0	43063.0	38795.1640625	6885.35546875	0.38795164062499987
128	broad	136	0.9992647058823529	0.9	38235.0	43016.5	38746.44852941176	12160.007352941177	0.38746448529411764
128	medium	90	0.9933333333333334	0.9	38275.0	42896.85	38894.38888888889	1179.0666666666666	0.3889438888888889
128	rare	30	0.99	0.9	37994.5	42808.8	38718.333333333336	92.46666666666667	0.3871833333333334
256	all	256	1.0	1.0	100000.0	100000.0	100000.0	17760.828125	1.0
256	broad	136	1.0	1.0	100000.0	100000.0	100000.0	31755.345588235294	1.0
256	medium	90	1.0	1.0	100000.0	100000.0	100000.0	2474.5	1.0
256	rare	30	1.0	1.0	100000.0	100000.0	100000.0	178.0	1.0
