query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
112	0.00216	rare	0.013142824	10	27	85	95	95	95
113	0.01163	medium	0.009865761	4	6	8	8	8	8
114	0.03786	medium	0.038502634	7	10	29	62	62	62
115	0.00216	rare	0.0051279664	9	10	56	67	67	67
116	0.29941	broad	0.058696747	2	1	1	7	7	7
117	0.52817	broad	0.08272439	1	1	1	1	1	1
118	0.52817	broad	0.058603168	5	6	15	16	16	16
119	1.0e-5	rare	0.055547953	1	110	110	110	110	110
120	0.29941	broad	0.030314922	6	3	8	12	12	12
121	0.03786	medium	0.007704735	6	2	12	15	15	15
122	0.29941	broad	0.012421012	4	2	4	4	4	4
123	0.52817	broad	0.0850482	6	1	9	19	19	19
124	0.52817	broad	0.045746863	5	3	8	10	10	10
125	0.03786	medium	0.0699811	4	1	20	148	148	148
126	0.52817	broad	0.041094363	6	2	61	62	62	62
127	0.00216	rare	0.0062528253	7	4	27	32	32	32
128	0.03786	medium	0.03552091	5	1	19	19	19	19
129	0.1204	broad	0.043664634	9	9	54	60	60	60
130	0.29941	broad	0.0012483597	7	2	10	57	57	57
131	0.29941	broad	0.08812243	4	1	4	8	8	8
132	0.03786	medium	0.05009079	8	9	24	32	32	32
133	0.03786	medium	0.0065432787	7	11	27	53	53	53
134	0.29941	broad	0.18114233	1	1	1	1	1	1
135	0.01163	medium	0.019617617	5	4	29	114	114	114
136	0.1204	broad	0.017122984	5	3	24	49	49	49
137	0.03786	medium	0.024103165	6	10	23	166	166	166
138	0.03786	medium	0.022601664	6	4	14	23	23	23
139	0.01163	medium	0.026274323	7	5	19	62	62	62
140	0.00216	rare	0.0873301	9	10	87	122	122	122
141	0.52817	broad	0.09077448	1	1	1	1	1	1
142	0.01163	medium	0.03787738	8	7	24	39	39	39
143	0.52817	broad	0.07395798	1	1	1	1	1	1
144	0.00216	rare	0.029953778	9	26	83	94	94	94
145	0.03786	medium	0.00375849	6	2	30	45	45	45
146	0.03786	medium	0.0045315623	7	5	14	14	14	14
147	0.01163	medium	0.013899505	4	1	5	10	10	10
148	0.29941	broad	0.011288643	8	3	22	46	46	46
149	0.52817	broad	0.062443852	9	27	45	67	67	67
150	0.29941	broad	0.03437531	6	2	11	16	16	16
151	0.29941	broad	0.013353586	5	2	4	35	35	35
152	0.01163	medium	0.104889214	7	8	45	67	67	67
153	0.52817	broad	0.03255111	5	2	8	75	75	75
154	0.03786	medium	0.04476899	2	1	1	2	2	2
155	0.01163	medium	0.017041326	7	9	29	51	51	51
156	0.01163	medium	0.020050347	5	2	5	12	12	12
157	0.29941	broad	0.012917817	8	11	16	37	37	37
158	0.29941	broad	0.089556515	1	1	1	1	1	1
159	0.00216	rare	0.009590328	8	8	36	90	90	90
160	0.29941	broad	0.010573387	6	5	16	44	44	44
161	0.1204	broad	0.018540502	5	2	4	17	17	17
162	0.1204	broad	0.09707385	1	1	1	1	1	1
163	0.52817	broad	0.015201867	5	3	24	24	24	24
164	0.29941	broad	0.0146301985	5	2	4	20	20	20
165	0.00216	rare	0.013921142	10	42	76	138	138	138
166	0.00216	rare	0.00096833706	6	3	11	78	78	78
167	0.03786	medium	0.054656625	5	1	7	11	11	11
168	0.29941	broad	0.007816911	4	2	6	6	6	6
169	0.03786	medium	0.02772957	8	4	12	78	78	78
170	0.52817	broad	0.003294468	4	1	6	52	52	52
171	0.01163	medium	0.020432472	10	15	43	69	69	69
172	0.00216	rare	0.08181089	10	13	69	75	75	75
173	0.52817	broad	0.014074862	5	1	5	27	27	27
174	0.29941	broad	0.028707743	5	2	10	50	50	50
175	0.29941	broad	0.007956803	7	3	22	52	52	52
176	0.1204	broad	0.024249017	5	2	10	10	10	10
177	0.01163	medium	0.009815395	8	26	45	68	68	68
178	0.03786	medium	0.030835927	5	1	60	124	124	124
179	0.52817	broad	0.05656737	5	4	11	24	24	24
180	0.00216	rare	0.020636618	8	21	51	83	83	83
181	0.03786	medium	0.013367653	6	9	55	79	79	79
182	0.01163	medium	0.0218122	10	12	83	86	86	86
183	0.1204	broad	0.093203664	2	1	1	2	2	2
184	0.01163	medium	0.051754236	8	32	40	59	59	59
185	0.1204	broad	0.079096794	6	4	15	33	33	33
186	0.00216	rare	0.030040085	9	9	27	81	81	81
187	0.01163	medium	0.11752963	5	1	29	68	68	68
188	0.29941	broad	0.05670142	5	5	20	38	38	38
189	0.1204	broad	0.005176723	6	2	30	34	34	34
190	0.03786	medium	0.015087783	6	15	35	172	172	172
191	0.29941	broad	0.0939852	6	1	16	50	50	50
192	0.00216	rare	0.009034872	8	24	51	61	61	61
193	0.1204	broad	0.028843284	6	2	18	23	23	23
194	0.01163	medium	0.028945804	4	6	9	9	9	9
195	0.03786	medium	0.06060666	7	2	25	98	98	98
196	0.1204	broad	0.09684867	4	1	13	28	28	28
197	0.29941	broad	0.020136118	8	5	47	62	62	62
198	0.1204	broad	0.15826684	1	1	1	1	1	1
199	0.00216	rare	0.008313775	5	6	21	38	38	38
200	0.1204	broad	0.06063795	9	16	85	113	113	113
201	0.00216	rare	0.025071442	7	8	58	84	84	84
202	0.29941	broad	0.08602011	1	1	1	1	1	1
203	0.03786	medium	0.022490561	6	5	44	83	83	83
204	0.29941	broad	0.0074441433	4	2	18	18	18	18
205	0.29941	broad	0.08241999	4	1	16	142	142	142
