query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.29941	broad	0.00092995167	5	2	8	9	9	9
2	0.01163	medium	0.14517623	5	1	15	88	88	88
3	0.52817	broad	0.024639487	5	2	11	32	32	32
4	0.52817	broad	0.039170325	4	4	5	20	20	20
5	0.03786	medium	0.010739088	7	11	27	58	58	58
6	0.03786	medium	0.03917539	5	3	9	71	71	71
7	0.03786	medium	0.045212686	7	3	38	41	41	41
8	0.29941	broad	0.05474633	4	3	6	7	7	7
9	0.1204	broad	0.049218	3	1	3	12	12	12
10	0.03786	medium	0.13028675	2	1	1	109	109	109
11	0.1204	broad	0.03455633	5	3	8	9	9	9
12	0.03786	medium	0.003500104	7	9	23	75	75	75
13	0.52817	broad	0.058303475	3	1	6	6	6	6
14	0.01163	medium	0.04319787	9	7	68	81	81	81
15	0.52817	broad	0.023175657	6	2	16	38	38	38
16	0.29941	broad	0.020480752	9	8	37	78	78	78
17	0.1204	broad	0.090994	2	1	1	18	18	18
18	0.03786	medium	0.018747985	9	4	34	37	37	37
19	0.03786	medium	0.09219676	1	1	1	1	1	1
20	0.1204	broad	0.06716764	1	1	1	1	1	1
21	0.01163	medium	0.013509214	3	3	3	8	8	8
22	0.00216	rare	0.040194273	7	4	38	77	77	77
23	0.52817	broad	0.030537844	4	1	6	7	7	7
24	0.00031	rare	0.047990978	8	92	105	109	109	109
25	0.03786	medium	0.044987977	5	1	7	17	17	17
26	0.52817	broad	0.007399082	4	3	4	9	9	9
27	0.01163	medium	0.07086903	7	4	85	147	147	147
28	0.03786	medium	0.0412634	6	8	16	20	20	20
29	0.1204	broad	0.021981537	1	1	1	1	1	1
30	0.01163	medium	0.004147291	5	2	6	8	8	8
31	0.52817	broad	0.05435592	4	1	7	11	11	11
32	0.01163	medium	0.0072532296	4	2	7	10	10	10
33	0.03786	medium	0.043403268	6	8	32	39	39	39
34	0.01163	medium	0.01647234	9	10	97	114	114	114
35	0.52817	broad	0.0154646635	7	5	18	21	21	21
36	0.00216	rare	0.029397547	10	16	44	46	46	46
37	0.1204	broad	0.07541567	3	2	9	9	9	9
