nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.34101562499999993	0.0	290.0	610.0	337.49609375	60.234375	0.0033749609374999984
1	broad	136	0.4566176470588235	0.0	290.0	610.0	331.70588235294116	107.30147058823529	0.003317058823529412
1	medium	90	0.24444444444444444	0.0	297.5	586.5999999999999	335.3666666666667	8.744444444444444	0.0033536666666666667
1	rare	30	0.10666666666666667	0.0	363.0	610.0	370.1333333333333	1.3333333333333333	0.003701333333333333
2	all	256	0.44960937499999987	0.0	631.0	1062.75	658.3359375	117.8203125	0.006583359375
2	broad	136	0.5838235294117646	0.0	631.0	1176.0	657.8823529411765	210.5	0.006578823529411765
2	medium	90	0.3466666666666667	0.0	631.0	1000.0	653.6666666666666	16.433333333333334	0.006536666666666666
2	rare	30	0.14999999999999997	0.0	631.0	1000.0	674.4	1.8333333333333333	0.006744000000000001
4	all	256	0.5718749999999999	0.0	1242.0	1849.75	1272.51953125	225.6171875	0.0127251953125
4	broad	136	0.7205882352941178	0.2	1224.5	1961.0	1269.0882352941176	402.8602941176471	0.012690882352941177
4	medium	90	0.4666666666666667	0.0	1230.0	1695.1999999999998	1264.6333333333334	31.977777777777778	0.012646333333333334
4	rare	30	0.21333333333333335	0.0	1262.5	1709.2999999999997	1311.7333333333333	3.033333333333333	0.013117333333333335
8	all	256	0.6906249999999999	0.0	2449.0	3266.0	2501.21484375	438.28515625	0.025012148437500003
8	broad	136	0.8382352941176472	0.3	2401.5	3234.5	2481.919117647059	780.5882352941177	0.024819191176470592
8	medium	90	0.5988888888888888	0.0	2474.0	3281.9	2527.911111111111	65.34444444444445	0.02527911111111111
8	rare	30	0.29666666666666663	0.0	2486.0	3211.2499999999995	2508.6	5.333333333333333	0.025085999999999997
16	all	256	0.7894531249999999	0.0	4821.0	6146.0	4941.421875	874.82421875	0.04941421874999999
16	broad	136	0.9169117647058825	0.5	4771.5	6146.0	4931.044117647059	1553.3382352941176	0.049310441176470585
16	medium	90	0.7133333333333334	0.3	4943.0	6141.7	4966.544444444445	137.83333333333334	0.04966544444444445
16	rare	30	0.44000000000000006	0.0	4832.5	5639.6	4913.1	9.866666666666667	0.049130999999999994
32	all	256	0.8820312499999999	0.0	9565.5	11410.0	9677.9375	1729.2890625	0.096779375
32	broad	136	0.9669117647058824	0.7	9525.0	11375.5	9653.625	3060.25	0.09653624999999999
32	medium	90	0.8444444444444444	0.5	9619.5	11538.0	9737.7	288.05555555555554	0.097377
32	rare	30	0.6100000000000001	0.0	9628.5	10742.999999999998	9608.866666666667	19.3	0.09608866666666667
64	all	256	0.9507812499999999	0.0	19185.0	21398.25	19301.92578125	3440.19140625	0.1930192578125
64	broad	136	0.9889705882352942	0.7	19140.0	21188.5	19264.272058823528	6070.242647058823	0.1926427205882353
64	medium	90	0.9400000000000001	0.7	19276.5	22660.199999999997	19311.6	598.9	0.193116
64	rare	30	0.8099999999999999	0.0	19177.0	22111.1	19443.6	41.166666666666664	0.19443600000000003
128	all	256	0.9902343750000001	0.0	40615.0	44845.0	41109.46875	7297.72265625	0.4110946875
128	broad	136	0.9992647058823529	0.9	40565.5	44809.75	41019.132352941175	12895.088235294117	0.41019132352941184
128	medium	90	0.9922222222222222	0.9	40692.0	44862.7	41232.34444444445	1239.9333333333334	0.41232344444444446
128	rare	30	0.9433333333333334	0.0	40488.0	44864.15	41150.36666666667	96.36666666666666	0.41150366666666666
256	all	256	1.0	1.0	100000.0	100000.0	100000.0	17760.828125	1.0
256	broad	136	1.0	1.0	100000.0	100000.0	100000.0	31755.345588235294	1.0
256	medium	90	1.0	1.0	100000.0	100000.0	100000.0	2474.5	1.0
256	rare	30	1.0	1.0	100000.0	100000.0	100000.0	178.0	1.0
