query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	1	0.7	696	275	0.00696
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	2	0.8	1596	573	0.01596
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	4	1.0	2964	995	0.02964
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	8	1.0	5226	1674	0.05226
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	16	1.0	10555	3666	0.10555
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	32	1.0	18840	6613	0.1884
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	64	1.0	40126	13543	0.40126
1	0.29941	broad	0.0052876472	4	1	3	4	4	4	128	1.0	100000	29941	1.0
2	0.01163	medium	0.008638144	8	6	22	42	42	42	1	0.1	1069	16	0.01069
2	0.01163	medium	0.008638144	8	6	22	42	42	42	2	0.1	1969	20	0.01969
2	0.01163	medium	0.008638144	8	6	22	42	42	42	4	0.2	3265	36	0.03265
2	0.01163	medium	0.008638144	8	6	22	42	42	42	8	0.8	6029	94	0.06029
2	0.01163	medium	0.008638144	8	6	22	42	42	42	16	0.8	10562	185	0.10562
2	0.01163	medium	0.008638144	8	6	22	42	42	42	32	0.9	19823	367	0.19823
2	0.01163	medium	0.008638144	8	6	22	42	42	42	64	1.0	39486	630	0.39486
2	0.01163	medium	0.008638144	8	6	22	42	42	42	128	1.0	100000	1163	1.0
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	1	0.4	842	402	0.00842
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	2	0.7	1490	764	0.0149
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	4	0.7	2516	1270	0.02516
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	8	0.8	4866	2323	0.04866
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	16	0.9	8306	3834	0.08306
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	32	1.0	18237	8143	0.18237
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	64	1.0	40376	17783	0.40376
3	0.52817	broad	0.0015645623	5	2	15	19	19	19	128	1.0	100000	52817	1.0
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	1	0.6	794	427	0.00794
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	2	0.6	1230	655	0.0123
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	4	0.9	3058	1819	0.03058
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	8	1.0	4772	2777	0.04772
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	16	1.0	10064	5285	0.10064
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	32	1.0	19831	9538	0.19831
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	64	1.0	40791	19374	0.40791
4	0.52817	broad	0.0134577155	3	1	3	6	6	6	128	1.0	100000	52817	1.0
5	0.03786	medium	0.026820362	7	7	20	39	39	39	1	0.1	648	21	0.00648
5	0.03786	medium	0.026820362	7	7	20	39	39	39	2	0.4	1490	68	0.0149
5	0.03786	medium	0.026820362	7	7	20	39	39	39	4	0.4	2622	110	0.02622
5	0.03786	medium	0.026820362	7	7	20	39	39	39	8	0.6	4819	191	0.04819
5	0.03786	medium	0.026820362	7	7	20	39	39	39	16	0.8	8829	442	0.08829
5	0.03786	medium	0.026820362	7	7	20	39	39	39	32	0.9	18879	807	0.18879
5	0.03786	medium	0.026820362	7	7	20	39	39	39	64	1.0	39551	1826	0.39551
5	0.03786	medium	0.026820362	7	7	20	39	39	39	128	1.0	100000	3786	1.0
6	0.03786	medium	0.048879147	4	1	27	33	33	33	1	0.5	900	31	0.009
6	0.03786	medium	0.048879147	4	1	27	33	33	33	2	0.8	1465	58	0.01465
6	0.03786	medium	0.048879147	4	1	27	33	33	33	4	0.8	2348	83	0.02348
6	0.03786	medium	0.048879147	4	1	27	33	33	33	8	0.8	4130	162	0.0413
6	0.03786	medium	0.048879147	4	1	27	33	33	33	16	0.8	8242	349	0.08242
6	0.03786	medium	0.048879147	4	1	27	33	33	33	32	0.9	18207	880	0.18207
6	0.03786	medium	0.048879147	4	1	27	33	33	33	64	1.0	40257	1836	0.40257
6	0.03786	medium	0.048879147	4	1	27	33	33	33	128	1.0	100000	3786	1.0
7	0.03786	medium	0.03653097	5	4	6	10	10	10	1	0.0	551	11	0.00551
7	0.03786	medium	0.03653097	5	4	6	10	10	10	2	0.0	783	22	0.00783
7	0.03786	medium	0.03653097	5	4	6	10	10	10	4	0.5	2110	52	0.0211
7	0.03786	medium	0.03653097	5	4	6	10	10	10	8	0.9	4040	127	0.0404
7	0.03786	medium	0.03653097	5	4	6	10	10	10	16	1.0	7269	302	0.07269
7	0.03786	medium	0.03653097	5	4	6	10	10	10	32	1.0	17549	709	0.17549
7	0.03786	medium	0.03653097	5	4	6	10	10	10	64	1.0	38671	1722	0.38671
7	0.03786	medium	0.03653097	5	4	6	10	10	10	128	1.0	100000	3786	1.0
8	0.29941	broad	0.056222975	6	2	9	25	25	25	1	0.1	900	298	0.009
