vector_count	dimension	vector_workload	filter_workload	selectivity	target_recall	runs	seeds	comparable_runs	passed_runs	all_passed	speedup_p95_min	speedup_p95_median	speedup_p95_max	planner_regret_median	planner_regret_max	aware_methods	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_min	postfilter_candidate_multiplier_median	postfilter_candidate_multiplier_max	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
1000000	128	clustered	correlated	0.01	0.95	1	52	1	1	true	244.711125	244.711125	244.711125	1.7130599306587417	1.7130599306587417	filter_aware_bound	8.0	16.0	64.0	64.0	64.0	2.0	0.5	0.5	4
1000000	128	clustered	correlated	0.05	0.95	1	52	1	1	true	20.47506136908216	20.47506136908216	20.47506136908216	1.7130399258992806	1.7130399258992806	filter_aware	8.0	16.0	256.0	256.0	256.0	2.0	0.5	0.5	4
1000000	128	clustered	correlated	0.1	0.95	1	52	1	1	true	9.217720068369509	9.217720068369509	9.217720068369509	1.0714860130986588	1.0714860130986588	filter_aware_bound	8.0	16.0	256.0	256.0	256.0	2.0	0.5	0.5	4
