vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
10000	128	clustered	anticorrelated	0.1	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.423875	0.423875	0.423875	0.44975	0.44975	0.44975	10000.0	64.0	0	1.0860129032258066	1.0860129032258066	true	8.0	16.0	16.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.1	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.041083	0.041083	0.041083	0.04525	0.04525	0.04525	1000.0	64.0	0	1.0860129032258066	1.0860129032258066	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	auto	1	51	0.998	0.998	0.998	0.061625	0.061625	0.061625	0.07825	0.07825	0.07825	1313.38	16.0	0	1.0515070481207252	1.0515070481207252	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.220834	0.220834	0.220834	0.27	0.27	0.27	5000.0	0.0	0	1.0515070481207252	1.0515070481207252	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	filter_aware	1	51	0.9990000000000001	0.9990000000000001	0.9990000000000001	0.163541	0.163541	0.163541	0.187792	0.187792	0.187792	3680.96	32.0	0	1.0515070481207252	1.0515070481207252	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	filter_aware_bound	1	51	0.9990000000000001	0.9990000000000001	0.9990000000000001	0.074667	0.074667	0.074667	0.094625	0.094625	0.094625	1530.24	16.0	0	1.0515070481207252	1.0515070481207252	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	ivf_postfilter	1	51	0.991	0.991	0.991	0.111583	0.111583	0.111583	0.131541	0.131541	0.131541	2545.42	16.0	0	1.0515070481207252	1.0515070481207252	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.5	64	10	0.95	ivf_prefilter	1	51	0.998	0.998	0.998	0.056833	0.056833	0.056833	0.074417	0.074417	0.074417	1313.38	16.0	1	1.0515070481207252	1.0515070481207252	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.094	0.094	0.094	0.111625	0.111625	0.111625	2545.42	16.0	0	1.0559749498618838	1.0559749498618838	false	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.359125	0.359125	0.359125	0.39825	0.39825	0.39825	10000.0	0.0	0	1.0559749498618838	1.0559749498618838	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.089541	0.089541	0.089541	0.108416	0.108416	0.108416	2545.42	16.0	0	1.0559749498618838	1.0559749498618838	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.111167	0.111167	0.111167	0.128459	0.128459	0.128459	2972.96	16.0	0	1.0559749498618838	1.0559749498618838	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.090875	0.090875	0.090875	0.105708	0.105708	0.105708	2545.42	16.0	1	1.0559749498618838	1.0559749498618838	false	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	1.0	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.087875	0.087875	0.087875	0.108333	0.108333	0.108333	2545.42	16.0	0	1.0559749498618838	1.0559749498618838	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.001	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.004958	0.004958	0.004958	0.005917	0.005917	0.005917	10.0	0.0	0	2.0885986586657257	2.0885986586657257	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.001	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.001833	0.001833	0.001833	0.002833	0.002833	0.002833	10.0	0.0	1	2.0885986586657257	2.0885986586657257	true	8.0	16.0	0.0	2.0	0.5	0.5	4
