experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
boundary-n10000-d128-clustered-random-s0_05-seed51	10000	128	clustered	random	0.05	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.029791	0.041792	1.0	0.029042	0.030917	499.94	499.94	58.99	0.361791833	0.5056533813476562	0.0555645	7.6187591552734375	682.578125	exact	1.1347614137058217	true	16.699291651842028	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_05-seed51	10000	128	clustered	random	0.05	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.022417	0.024209	500.0	500.0	0.0	0.361791833	0.5056533813476562	0.0555645	7.6187591552734375	682.578125	exact	1.1347614137058217	true	16.699291651842028	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	exact	exact	0	true	1.0	0.037625	0.04275	1.0	0.035792	0.039	1000.0	1000.0	0.0	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.041333	0.045958	1.0	0.040625	0.04375	1000.0	1000.0	64.0	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.378375	0.423042	1.0	0.378666	0.401	10000.0	10000.0	64.0	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	filter_aware	filter_aware	64	true	1.0	0.043084	0.047625	1.0	0.044375	0.047875	1000.0	1000.0	64.0	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.045958	0.049333	1.0	0.046167	0.053125	998.31	998.31	61.64	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_1-seed51	10000	128	clustered	random	0.1	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.038875	0.042	1000.0	1000.0	0.0	0.361791833	0.5028457641601562	0.0555645	7.6187591552734375	715.375	exact	1.076923076923077	true	8.37597911227154	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	exact	exact	0	true	1.0	0.190916	0.208333	1.0	0.196	0.228292	5000.0	5000.0	0.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	ivf_prefilter	ivf_prefilter	16	true	1.0	0.04425	0.052833	1.0	0.048583	0.072584	1272.3	1272.3	16.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	ivf_postfilter	ivf_postfilter	16	true	1.0	0.09375	0.1155	1.0	0.098584	0.129625	2545.42	2545.42	16.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	filter_aware	filter_aware	16	true	1.0	0.04475	0.052416	1.0	0.044625	0.073291	1086.59	1086.59	16.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	filter_aware_bound	filter_aware_bound	16	true	1.0	0.059	0.066041	1.0	0.061458	0.084208	1489.14	1489.14	16.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_5-seed51	10000	128	clustered	random	0.5	51	auto	ivf_prefilter	0	true	NaN	NaN	NaN	1.0	0.052375	0.077667	1272.3	1272.3	16.0	0.361791833	0.482879638671875	0.0555645	7.6187591552734375	724.375	ivf_prefilter	1.0700292075388516	true	1.7686346208947892	8.0	16.0	8.0	2.0	0.5	0.5	4
