query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
243	0.006713333333333333	rare	0.0013702512	9	15	67	197	197	197
244	0.006713333333333333	rare	0.023363888	6	14	43	47	47	47
245	0.0918	medium	0.015177131	9	7	57	89	89	89
246	0.0918	medium	0.0013106465	6	5	142	247	247	247
247	0.0918	medium	0.008092701	7	2	71	137	137	137
248	0.5782933333333333	broad	0.01597488	7	6	10	13	13	13
249	0.2908733333333333	broad	0.04695332	8	8	17	91	91	91
250	0.0918	medium	0.031684816	9	7	18	32	32	32
251	0.006713333333333333	rare	0.017148733	7	3	19	43	43	43
252	0.006713333333333333	rare	0.006867707	9	19	53	84	84	84
253	0.006713333333333333	rare	0.0402292	10	11	76	77	77	77
254	0.0918	medium	0.011746943	8	4	153	161	161	161
255	0.0002466666666666667	rare	0.013262808	9	64	117	131	131	131
256	0.030446666666666667	medium	0.00047570467	9	26	109	170	170	170
