query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.29941	broad	0.02710259	2	2	2	2	2	2
2	0.01163	medium	0.01080358	7	2	13	17	17	17
3	0.52817	broad	0.04347688	2	1	2	2	2	2
4	0.52817	broad	0.020365477	3	1	2	7	7	7
5	0.03786	medium	0.05695212	5	3	15	15	15	15
6	0.03786	medium	0.041221738	5	1	13	26	26	26
7	0.03786	medium	0.01660043	6	2	16	17	17	17
8	0.29941	broad	0.08501536	5	2	12	20	20	20
9	0.1204	broad	0.01640737	3	1	2	5	5	5
10	0.03786	medium	0.15289658	2	1	1	24	24	24
11	0.1204	broad	0.036651075	2	1	3	3	3	3
12	0.03786	medium	0.048793197	5	8	15	15	15	15
13	0.52817	broad	0.0436278	2	1	2	2	2	2
14	0.01163	medium	0.016242981	7	3	8	9	9	9
15	0.52817	broad	0.058249652	6	1	10	12	12	12
16	0.29941	broad	0.07127923	6	1	8	23	23	23
17	0.1204	broad	0.023381233	2	1	1	2	2	2
18	0.03786	medium	0.009632885	5	2	8	21	21	21
19	0.03786	medium	0.0666613	6	2	15	17	17	17
20	0.1204	broad	0.014828265	4	2	7	13	13	13
21	0.01163	medium	0.087638795	2	1	1	2	2	2
22	0.00216	rare	0.083734274	7	5	12	17	17	17
23	0.52817	broad	0.078234315	3	1	2	9	9	9
24	0.00031	rare	0.089113	4	17	20	20	20	20
25	0.03786	medium	0.036842465	4	2	4	4	4	4
26	0.52817	broad	0.030459464	2	1	2	2	2	2
27	0.01163	medium	0.072283745	6	1	22	44	44	44
28	0.03786	medium	0.0027571917	2	2	2	2	2	2
29	0.1204	broad	0.12548208	4	1	3	6	6	6
30	0.01163	medium	0.0019181967	4	3	3	7	7	7
31	0.52817	broad	0.036215663	5	1	10	16	16	16
32	0.01163	medium	0.08104074	2	1	2	2	2	2
33	0.03786	medium	0.060167015	5	1	12	15	15	15
34	0.01163	medium	0.031136394	7	17	20	23	23	23
35	0.52817	broad	0.01572609	5	2	7	8	8	8
36	0.00216	rare	0.086585045	9	11	19	20	20	20
37	0.1204	broad	0.08863938	3	2	2	3	3	3
38	0.1204	broad	0.027083993	3	2	8	9	9	9
39	0.52817	broad	0.007229209	4	3	3	14	14	14
40	0.1204	broad	0.0019853115	6	2	11	20	20	20
41	0.52817	broad	0.0036620498	5	5	8	19	19	19
42	0.1204	broad	0.0034437776	9	6	13	20	20	20
43	0.52817	broad	0.145096	1	1	1	1	1	1
44	0.1204	broad	0.0066818	3	1	3	3	3	3
45	0.1204	broad	0.029478252	4	1	5	5	5	5
46	0.1204	broad	0.0006209612	5	2	4	5	5	5
47	0.1204	broad	0.004825175	3	1	4	4	4	4
48	0.01163	medium	0.014188647	5	2	23	25	25	25
49	0.52817	broad	0.046244442	2	1	1	3	3	3
50	0.29941	broad	0.077634215	2	1	1	7	7	7
51	0.52817	broad	0.022484004	3	1	3	17	17	17
52	0.03786	medium	0.116147935	4	5	10	10	10	10
53	0.03786	medium	0.079984546	6	1	9	19	19	19
54	0.03786	medium	0.014361858	6	5	6	16	16	16
55	0.52817	broad	0.026642859	5	2	11	11	11	11
56	0.29941	broad	0.12357378	2	1	1	2	2	2
57	0.1204	broad	0.022196472	3	1	3	12	12	12
58	0.01163	medium	0.0043137074	5	1	14	16	16	16
59	0.01163	medium	0.10091889	4	1	3	12	12	12
60	0.01163	medium	0.12361801	6	3	19	35	35	35
61	0.29941	broad	0.028882086	2	1	2	2	2	2
62	0.29941	broad	0.11281365	3	1	6	6	6	6
63	0.1204	broad	0.10904938	4	2	6	13	13	13
64	0.29941	broad	0.017831802	5	2	4	5	5	5
65	0.1204	broad	0.010535359	4	2	3	9	9	9
66	0.00216	rare	0.06146598	6	5	24	24	24	24
67	0.01163	medium	0.051573694	4	1	10	10	10	10
68	0.52817	broad	0.082526326	5	2	4	6	6	6
69	0.29941	broad	0.016101718	4	2	6	12	12	12
70	0.52817	broad	0.06940007	5	1	7	11	11	11
71	0.00216	rare	0.07359916	3	1	7	9	9	9
72	0.1204	broad	0.10415971	5	2	8	9	9	9
73	0.1204	broad	0.040932715	6	3	7	23	23	23
74	0.03786	medium	0.08180249	3	1	10	10	10	10
75	0.52817	broad	0.006808698	4	2	4	7	7	7
76	0.03786	medium	0.00071173906	6	2	11	30	30	30
77	0.00216	rare	0.0012804866	6	4	11	13	13	13
78	0.01163	medium	0.037300944	5	3	9	25	25	25
79	0.01163	medium	0.085404396	7	2	21	27	27	27
80	0.1204	broad	0.025946736	7	4	9	20	20	20
81	0.01163	medium	0.08881295	6	1	34	59	59	59
82	0.29941	broad	0.005967498	5	2	5	10	10	10
83	0.01163	medium	0.13317358	5	1	13	47	47	47
84	0.01163	medium	0.038307548	7	9	24	24	24	24
85	0.52817	broad	0.023693621	4	1	5	7	7	7
86	0.52817	broad	0.013274074	2	1	3	3	3	3
87	0.52817	broad	0.085152686	2	1	2	2	2	2
88	0.01163	medium	0.0020282269	2	1	2	2	2	2
89	0.01163	medium	0.00534302	7	3	8	12	12	12
90	0.01163	medium	0.008044779	6	5	17	21	21	21
91	0.52817	broad	0.0041154623	3	1	2	8	8	8
92	0.29941	broad	0.047319412	2	1	1	10	10	10
93	0.01163	medium	0.024801731	4	1	6	7	7	7
94	0.00216	rare	0.034204423	8	5	18	19	19	19
95	0.01163	medium	0.116340876	6	7	17	26	26	26
96	0.00031	rare	0.018629491	6	6	14	17	17	17
97	0.03786	medium	0.04869312	6	7	22	27	27	27
98	0.03786	medium	0.004400134	5	7	15	15	15	15
99	0.29941	broad	0.0073534846	4	1	6	10	10	10
100	0.29941	broad	0.08944094	1	1	1	1	1	1
101	0.1204	broad	0.104587495	2	1	1	2	2	2
102	0.1204	broad	0.012826502	7	4	8	12	12	12
103	0.52817	broad	0.043025672	2	1	1	22	22	22
104	0.29941	broad	0.112837136	3	1	3	29	29	29
105	0.1204	broad	0.013442159	4	1	3	7	7	7
106	0.52817	broad	0.023788333	4	2	3	5	5	5
107	0.00216	rare	0.114391565	8	4	30	37	37	37
108	0.03786	medium	0.1046533	2	1	6	6	6	6
109	0.1204	broad	0.05890876	2	1	1	7	7	7
110	0.00031	rare	0.039542437	7	18	24	39	39	39
111	0.1204	broad	0.08372438	3	1	2	6	6	6
112	0.00216	rare	0.01312834	7	5	19	23	23	23
113	0.01163	medium	0.06387836	2	1	2	2	2	2
114	0.03786	medium	0.031161249	6	3	5	8	8	8
115	0.00216	rare	0.09503645	6	2	8	18	18	18
116	0.29941	broad	0.074148536	2	1	1	8	8	8
117	0.52817	broad	0.070328355	5	3	5	5	5	5
118	0.52817	broad	0.0016481876	3	2	2	4	4	4
119	1.0e-5	rare	0.040644586	1	22	22	22	22	22
120	0.29941	broad	0.08282679	3	1	3	3	3	3
121	0.03786	medium	0.016538143	5	2	4	7	7	7
122	0.29941	broad	0.11594027	3	1	5	19	19	19
123	0.52817	broad	0.016759455	3	2	2	5	5	5
124	0.52817	broad	0.08698332	2	1	1	2	2	2
125	0.03786	medium	0.09680945	4	1	14	31	31	31
126	0.52817	broad	0.044044256	5	1	9	13	13	13
127	0.00216	rare	0.015759766	4	1	10	11	11	11
128	0.03786	medium	0.05843091	4	1	4	12	12	12
129	0.1204	broad	0.0034409761	6	5	9	19	19	19
130	0.29941	broad	0.01396507	4	1	5	32	32	32
131	0.29941	broad	0.04875946	2	1	2	2	2	2
132	0.03786	medium	0.018833458	7	5	7	10	10	10
133	0.03786	medium	0.024684846	5	2	11	16	16	16
134	0.29941	broad	0.034273744	2	1	2	2	2	2
135	0.01163	medium	0.011879563	5	2	6	27	27	27
136	0.1204	broad	0.022704005	6	2	13	15	15	15
137	0.03786	medium	0.024412274	4	1	4	8	8	8
138	0.03786	medium	0.027928472	5	2	4	5	5	5
139	0.01163	medium	0.13182873	6	3	12	13	13	13
140	0.00216	rare	0.02633512	7	4	13	27	27	27
141	0.52817	broad	0.024937272	5	3	5	8	8	8
142	0.01163	medium	0.039761543	6	2	11	15	15	15
143	0.52817	broad	0.11712074	1	1	1	1	1	1
144	0.00216	rare	0.0044281483	8	8	23	24	24	24
145	0.03786	medium	0.0071869493	7	2	12	16	16	16
146	0.03786	medium	0.037552893	3	1	4	4	4	4
147	0.01163	medium	0.066658735	3	1	2	4	4	4
148	0.29941	broad	0.08625531	5	1	4	9	9	9
149	0.52817	broad	0.0027451515	5	2	21	23	23	23
150	0.29941	broad	0.053685606	4	1	9	12	12	12
151	0.29941	broad	0.11737645	2	1	1	14	14	14
152	0.01163	medium	0.018530786	7	8	17	23	23	23
153	0.52817	broad	0.13265449	2	1	1	13	13	13
154	0.03786	medium	0.12039995	6	2	14	16	16	16
155	0.01163	medium	0.010614812	4	2	5	16	16	16
156	0.01163	medium	0.06450325	3	1	3	5	5	5
157	0.29941	broad	0.076688826	5	2	5	6	6	6
158	0.29941	broad	0.00011998415	3	2	2	10	10	10
159	0.00216	rare	0.050629795	7	6	12	13	13	13
160	0.29941	broad	0.10034239	3	1	4	7	7	7
161	0.1204	broad	0.14963228	2	1	1	4	4	4
162	0.1204	broad	0.006536007	5	2	6	8	8	8
163	0.52817	broad	0.06972051	2	1	2	2	2	2
164	0.29941	broad	0.002194345	5	2	5	11	11	11
165	0.00216	rare	0.027385712	8	12	18	22	22	22
166	0.00216	rare	0.07771897	4	2	3	9	9	9
167	0.03786	medium	0.12690091	3	1	2	19	19	19
168	0.29941	broad	0.04298103	2	1	2	2	2	2
169	0.03786	medium	0.046905875	5	1	5	6	6	6
170	0.52817	broad	0.004745841	5	2	4	6	6	6
171	0.01163	medium	0.0036477447	7	4	15	21	21	21
172	0.00216	rare	0.07286626	8	4	18	18	18	18
173	0.52817	broad	0.084371865	3	1	2	9	9	9
174	0.29941	broad	0.059545398	3	2	2	6	6	6
175	0.29941	broad	0.044627964	4	2	3	7	7	7
176	0.1204	broad	0.038151085	3	1	5	5	5	5
177	0.01163	medium	0.017808974	7	8	17	22	22	22
178	0.03786	medium	0.1421504	3	1	29	29	29	29
179	0.52817	broad	0.04254377	2	1	1	2	2	2
180	0.00216	rare	0.012114406	8	5	34	35	35	35
181	0.03786	medium	0.05730909	4	3	4	9	9	9
182	0.01163	medium	0.038529813	8	5	18	24	24	24
183	0.1204	broad	0.005247891	5	3	6	9	9	9
184	0.01163	medium	0.0028407574	7	6	10	24	24	24
185	0.1204	broad	0.004150808	3	2	2	16	16	16
186	0.00216	rare	0.096951306	8	4	21	26	26	26
187	0.01163	medium	0.17579716	5	1	18	38	38	38
188	0.29941	broad	0.09405005	4	2	3	4	4	4
189	0.1204	broad	0.12924904	3	1	9	16	16	16
190	0.03786	medium	0.046388984	5	3	16	19	19	19
191	0.29941	broad	0.13612115	4	1	5	10	10	10
192	0.00216	rare	0.017292142	6	6	12	14	14	14
193	0.1204	broad	0.017101705	4	1	6	6	6	6
194	0.01163	medium	0.0292691	2	1	3	3	3	3
195	0.03786	medium	0.04270315	4	1	5	10	10	10
196	0.1204	broad	0.089696825	2	1	2	2	2	2
197	0.29941	broad	0.0037149787	6	4	16	19	19	19
198	0.1204	broad	0.016667366	7	2	7	10	10	10
199	0.00216	rare	0.10185915	4	3	17	17	17	17
200	0.1204	broad	0.0021704435	6	1	28	42	42	42
201	0.00216	rare	0.049324512	7	2	15	18	18	18
202	0.29941	broad	0.062048733	4	3	4	5	5	5
203	0.03786	medium	0.08122271	6	2	11	21	21	21
204	0.29941	broad	0.070659876	3	1	5	8	8	8
205	0.29941	broad	0.11907673	2	1	1	34	34	34
206	0.01163	medium	0.13966894	7	7	19	20	20	20
207	0.52817	broad	0.04827261	1	1	1	1	1	1
208	0.1204	broad	0.052756667	5	1	14	15	15	15
209	0.1204	broad	0.035517693	2	1	1	5	5	5
210	0.03786	medium	0.018928528	6	5	8	9	9	9
211	0.01163	medium	0.047064185	5	3	6	18	18	18
212	0.1204	broad	0.10805261	4	1	3	6	6	6
213	0.52817	broad	0.0011781454	3	2	2	3	3	3
214	0.52817	broad	0.004158139	3	1	2	10	10	10
215	0.52817	broad	0.009036541	3	2	2	8	8	8
