query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.29941	broad	0.02710259	2	2	2	2	2	2	1	0.3	1124	389	0.01124
1	0.29941	broad	0.02710259	2	2	2	2	2	2	2	1.0	3801	1281	0.03801
1	0.29941	broad	0.02710259	2	2	2	2	2	2	4	1.0	5537	1849	0.05537
1	0.29941	broad	0.02710259	2	2	2	2	2	2	8	1.0	11355	3951	0.11355
1	0.29941	broad	0.02710259	2	2	2	2	2	2	16	1.0	21028	7486	0.21028
1	0.29941	broad	0.02710259	2	2	2	2	2	2	32	1.0	42959	14064	0.42959
1	0.29941	broad	0.02710259	2	2	2	2	2	2	64	1.0	100000	29941	1.0
2	0.01163	medium	0.01080358	7	2	13	17	17	17	1	0.1	1124	5	0.01124
2	0.01163	medium	0.01080358	7	2	13	17	17	17	2	0.5	3786	78	0.03786
2	0.01163	medium	0.01080358	7	2	13	17	17	17	4	0.6	5560	103	0.0556
2	0.01163	medium	0.01080358	7	2	13	17	17	17	8	0.6	10384	188	0.10384
2	0.01163	medium	0.01080358	7	2	13	17	17	17	16	0.9	23620	407	0.2362
2	0.01163	medium	0.01080358	7	2	13	17	17	17	32	1.0	44071	687	0.44071
2	0.01163	medium	0.01080358	7	2	13	17	17	17	64	1.0	100000	1163	1.0
3	0.52817	broad	0.04347688	2	1	2	2	2	2	1	0.7	977	543	0.00977
3	0.52817	broad	0.04347688	2	1	2	2	2	2	2	1.0	2569	1134	0.02569
3	0.52817	broad	0.04347688	2	1	2	2	2	2	4	1.0	4583	2022	0.04583
3	0.52817	broad	0.04347688	2	1	2	2	2	2	8	1.0	9727	4236	0.09727
3	0.52817	broad	0.04347688	2	1	2	2	2	2	16	1.0	21377	9053	0.21377
3	0.52817	broad	0.04347688	2	1	2	2	2	2	32	1.0	44596	20206	0.44596
3	0.52817	broad	0.04347688	2	1	2	2	2	2	64	1.0	100000	52817	1.0
4	0.52817	broad	0.020365477	3	1	2	7	7	7	1	0.6	1809	1143	0.01809
4	0.52817	broad	0.020365477	3	1	2	7	7	7	2	0.9	2786	1686	0.02786
4	0.52817	broad	0.020365477	3	1	2	7	7	7	4	0.9	5340	2808	0.0534
4	0.52817	broad	0.020365477	3	1	2	7	7	7	8	1.0	10262	4836	0.10262
4	0.52817	broad	0.020365477	3	1	2	7	7	7	16	1.0	20450	9911	0.2045
4	0.52817	broad	0.020365477	3	1	2	7	7	7	32	1.0	45251	21610	0.45251
4	0.52817	broad	0.020365477	3	1	2	7	7	7	64	1.0	100000	52817	1.0
5	0.03786	medium	0.05695212	5	3	15	15	15	15	1	0.3	977	30	0.00977
5	0.03786	medium	0.05695212	5	3	15	15	15	15	2	0.3	2101	67	0.02101
5	0.03786	medium	0.05695212	5	3	15	15	15	15	4	0.5	4490	180	0.0449
