experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
final100k-n100000-d128-clustered-correlated-s0_1-seed48	100000	128	clustered	correlated	0.1	48	filter_aware	filter_aware	64	true	1.0	1.3935	4.893416	1.0	0.930334	1.004917	10000.0	10000.0	64.0	2.373865792	2.9218902587890625	5.077531083	153.84363555908203	978.40625	exact	1.2151806304473158	true	38.05534221987594	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed48	100000	128	clustered	correlated	0.1	48	filter_aware_bound	filter_aware_bound	64	true	1.0	0.868542	3.654792	1.0	0.895875	0.947125	9977.41	9977.41	55.84	2.373865792	2.9218902587890625	5.077531083	153.84363555908203	978.40625	exact	1.2151806304473158	true	38.05534221987594	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed48	100000	128	clustered	correlated	0.1	48	auto	exact	0	true	NaN	NaN	NaN	1.0	1.005333	1.146625	10000.0	10000.0	0.0	2.373865792	2.9218902587890625	5.077531083	153.84363555908203	978.40625	exact	1.2151806304473158	true	38.05534221987594	8.0	16.0	128.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	exact	exact	0	true	1.0	0.116125	0.51525	1.0	0.085084	0.0945	1000.0	1000.0	0.0	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	ivf_prefilter	ivf_prefilter	64	true	1.0	0.09275	0.110459	1.0	0.086958	0.099042	1000.0	1000.0	64.0	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	ivf_postfilter	ivf_postfilter	64	true	1.0	26.955959	77.656292	1.0	22.472167	31.267333	100000.0	100000.0	64.0	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	32.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	filter_aware	filter_aware	64	true	1.0	0.102625	0.128416	1.0	0.113166	0.130875	1000.0	1000.0	64.0	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	filter_aware_bound	filter_aware_bound	64	true	1.0	0.098459	0.118375	1.0	0.105833	0.122041	999.96	999.96	26.985	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed49	100000	128	clustered	correlated	0.01	49	auto	exact	0	true	NaN	NaN	NaN	1.0	0.113541	0.127542	1000.0	1000.0	0.0	2.097774167	2.8107070922851562	4.981861125	153.2085723876953	978.40625	exact	1.3496507936507935	true	256.20351357330736	8.0	16.0	32.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	exact	exact	0	true	1.0	0.454417	1.118833	1.0	0.403916	0.448916	5000.0	5000.0	0.0	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	0.0	2.0	0.5	0.5	4
