vector_count	dimension	vector_workload	filter_workload	selectivity	target_recall	runs	seeds	comparable_runs	passed_runs	all_passed	speedup_p95_min	speedup_p95_median	speedup_p95_max	planner_regret_median	planner_regret_max	aware_methods	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_min	postfilter_candidate_multiplier_median	postfilter_candidate_multiplier_max	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
100000	128	clustered	correlated	0.01	0.95	3	48,49,50	3	3	true	210.66398163031	256.20351357330736	269.0079703474006	1.1778180220726011	1.3496507936507935	filter_aware,filter_aware_bound	8.0	16.0	16.0	32.0	32.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	0.95	3	48,49,50	3	3	true	59.95896179091799	65.04941493927608	79.07754341117568	1.2299441174901353	1.3789747971555881	filter_aware_bound	8.0	16.0	64.0	64.0	128.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.1	0.95	3	48,49,50	3	3	true	25.872468732331516	30.321581512460774	38.05534221987594	1.1704820742210227	1.2151806304473158	filter_aware_bound	8.0	16.0	64.0	128.0	128.0	2.0	0.5	0.5	4
