query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
222	0.0918	medium	0.057938278	4	1	4	9	9	9
223	0.0918	medium	0.05593407	4	1	4	7	7	7
224	0.0918	medium	0.032678723	8	5	27	29	29	29
225	0.5782933333333333	broad	0.0069208145	7	3	10	19	19	19
226	0.006713333333333333	rare	0.016547859	9	125	272	275	275	275
227	0.0918	medium	0.026413381	2	1	1	7	7	7
228	0.0918	medium	0.012083173	5	2	4	21	21	21
229	0.2908733333333333	broad	0.017876923	8	8	13	192	192	192
230	0.5782933333333333	broad	0.0005531907	7	4	19	29	29	29
231	0.5782933333333333	broad	0.02584517	7	3	18	26	26	26
232	0.2908733333333333	broad	0.010244012	8	4	17	27	27	27
233	0.5782933333333333	broad	0.018378139	7	4	23	74	74	74
234	0.006713333333333333	rare	0.078188896	9	16	102	142	142	142
235	0.006713333333333333	rare	0.053673267	9	138	406	754	754	754
236	0.2908733333333333	broad	0.032233536	8	4	59	61	61	61
237	0.0918	medium	0.008103907	6	5	41	66	66	66
238	0.006713333333333333	rare	0.0064541698	7	14	231	419	419	419
239	0.5782933333333333	broad	0.037246644	4	2	4	14	14	14
240	0.0918	medium	0.11070645	3	1	8	17	17	17
241	0.2908733333333333	broad	0.07362676	4	1	3	5	5	5
242	0.030446666666666667	medium	0.0025689602	9	20	43	204	204	204
243	0.006713333333333333	rare	0.011725724	9	28	72	278	278	278
244	0.006713333333333333	rare	0.023375273	9	18	44	325	325	325
245	0.0918	medium	0.0531137	9	10	56	79	79	79
246	0.0918	medium	0.00963068	6	5	8	219	219	219
247	0.0918	medium	0.0075273514	7	3	59	102	102	102
248	0.5782933333333333	broad	0.0067775846	6	3	13	13	13	13
249	0.2908733333333333	broad	0.05233711	9	7	30	84	84	84
250	0.0918	medium	0.009449482	6	10	20	89	89	89
251	0.006713333333333333	rare	0.0052068233	8	9	31	65	65	65
252	0.006713333333333333	rare	0.067519546	10	47	102	241	241	241
253	0.006713333333333333	rare	0.050188422	10	24	94	96	96	96
254	0.0918	medium	0.022446215	8	6	230	248	248	248
255	0.0002466666666666667	rare	0.0007290244	10	61	158	182	182	182
256	0.030446666666666667	medium	0.0019093752	9	34	96	142	142	142
