query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.29941	broad	0.0009917617	7	3	16	17	17	17
2	0.01163	medium	0.09474003	7	2	19	22	22	22
3	0.52817	broad	0.011297643	4	1	12	22	22	22
4	0.52817	broad	0.010612786	4	1	6	12	12	12
5	0.03786	medium	0.018684328	9	14	83	124	124	124
6	0.03786	medium	0.0033977628	6	6	21	25	25	25
7	0.03786	medium	0.0058193207	8	5	61	74	74	74
8	0.29941	broad	0.038948894	4	1	6	13	13	13
9	0.1204	broad	0.012414634	3	2	2	9	9	9
10	0.03786	medium	0.04579234	4	1	25	261	261	261
11	0.1204	broad	0.016997397	5	4	5	15	15	15
12	0.03786	medium	0.012549877	8	12	103	114	114	114
13	0.52817	broad	0.014357984	7	3	14	30	30	30
14	0.01163	medium	0.014393985	10	17	64	118	118	118
15	0.52817	broad	0.04150796	9	5	53	75	75	75
16	0.29941	broad	0.025960743	9	14	42	67	67	67
17	0.1204	broad	4.4822693e-5	6	3	8	9	9	9
18	0.03786	medium	0.019901276	7	2	37	134	134	134
19	0.03786	medium	0.013520837	2	1	1	2	2	2
20	0.1204	broad	0.078903496	1	1	1	1	1	1
21	0.01163	medium	0.0047802925	4	2	8	150	150	150
22	0.00216	rare	0.012666345	9	24	55	108	108	108
23	0.52817	broad	0.049257517	4	1	13	30	30	30
24	0.00031	rare	0.017472029	9	131	216	220	220	220
25	0.03786	medium	0.02687043	9	8	35	66	66	66
26	0.52817	broad	0.013514817	6	1	18	21	21	21
27	0.01163	medium	0.0011791587	8	5	185	197	197	197
28	0.03786	medium	0.031309366	7	15	29	48	48	48
29	0.1204	broad	0.045404553	2	1	4	4	4	4
30	0.01163	medium	0.014608145	7	3	10	12	12	12
31	0.52817	broad	0.02472359	4	1	3	5	5	5
32	0.01163	medium	0.0064778924	5	2	19	206	206	206
33	0.03786	medium	0.0411219	7	15	57	146	146	146
34	0.01163	medium	0.016856074	10	24	159	204	204	204
35	0.52817	broad	0.0007351637	8	8	15	59	59	59
36	0.00216	rare	0.03073734	10	56	109	185	185	185
37	0.1204	broad	0.010236502	5	3	23	23	23	23
38	0.1204	broad	0.112594366	1	1	1	1	1	1
39	0.52817	broad	0.010527015	5	2	12	17	17	17
40	0.1204	broad	0.007913411	7	2	102	192	192	192
41	0.52817	broad	0.011486113	8	7	82	168	168	168
42	0.1204	broad	0.028276384	9	13	43	78	78	78
43	0.52817	broad	0.048722148	2	1	1	2	2	2
44	0.1204	broad	0.053025007	6	3	10	65	65	65
45	0.1204	broad	0.010029852	7	4	12	92	92	92
46	0.1204	broad	0.0850184	6	2	25	25	25	25
47	0.1204	broad	0.004896641	6	5	16	36	36	36
48	0.01163	medium	0.00040996075	6	7	32	94	94	94
49	0.52817	broad	0.037527204	3	1	2	4	4	4
50	0.29941	broad	0.0057532787	4	2	3	10	10	10
51	0.52817	broad	0.0078372955	4	4	6	45	45	45
52	0.03786	medium	0.0010989904	7	5	25	27	27	27
53	0.03786	medium	0.008422494	10	11	78	99	99	99
54	0.03786	medium	0.024432242	6	4	11	58	58	58
55	0.52817	broad	0.013377428	6	3	8	15	15	15
56	0.29941	broad	0.012428522	2	1	2	2	2	2
57	0.1204	broad	0.02330327	5	3	15	21	21	21
58	0.01163	medium	0.087347806	5	2	4	13	13	13
59	0.01163	medium	0.068724275	8	10	37	103	103	103
60	0.01163	medium	0.017146587	8	23	114	223	223	223
61	0.29941	broad	0.024428964	5	2	9	19	19	19
62	0.29941	broad	0.074608326	4	3	12	12	12	12
63	0.1204	broad	0.07365972	8	5	21	24	24	24
64	0.29941	broad	0.06723064	5	2	10	23	23	23
65	0.1204	broad	0.007605791	5	2	8	10	10	10
66	0.00216	rare	0.0042696	9	30	73	118	118	118
67	0.01163	medium	0.018013775	7	6	33	34	34	34
68	0.52817	broad	0.07015151	1	1	1	1	1	1
69	0.29941	broad	0.036639214	6	4	11	16	16	16
70	0.52817	broad	0.01235503	8	5	26	129	129	129
71	0.00216	rare	0.013156593	8	9	13	66	66	66
72	0.1204	broad	0.023512304	7	5	35	59	59	59
73	0.1204	broad	0.016868293	9	6	27	118	118	118
74	0.03786	medium	0.030906677	6	4	33	43	43	43
75	0.52817	broad	0.0117583275	6	2	11	56	56	56
76	0.03786	medium	0.0060461164	8	6	61	192	192	192
77	0.00216	rare	0.009213746	10	26	55	58	58	58
78	0.01163	medium	0.0015478134	7	9	36	172	172	172
79	0.01163	medium	0.06360608	10	31	81	98	98	98
80	0.1204	broad	0.039758205	10	8	45	78	78	78
81	0.01163	medium	0.0022682548	9	7	13	230	230	230
82	0.29941	broad	0.017312288	7	2	15	32	32	32
83	0.01163	medium	0.07042229	7	3	32	137	137	137
84	0.01163	medium	0.07022208	10	39	75	239	239	239
85	0.52817	broad	0.006973982	6	1	12	49	49	49
86	0.52817	broad	0.019136429	5	2	4	9	9	9
87	0.52817	broad	0.022548914	6	3	6	10	10	10
88	0.01163	medium	0.0064340234	7	3	14	40	40	40
89	0.01163	medium	0.07870114	9	9	33	72	72	72
90	0.01163	medium	0.007951736	8	30	39	49	49	49
91	0.52817	broad	0.008995414	5	2	9	34	34	34
92	0.29941	broad	0.0119344	6	4	7	45	45	45
93	0.01163	medium	0.023919284	6	4	17	27	27	27
94	0.00216	rare	0.02742076	10	38	124	145	145	145
95	0.01163	medium	0.02009368	10	17	71	82	82	82
96	0.00031	rare	0.013525784	9	55	160	212	212	212
97	0.03786	medium	0.0038679242	9	25	139	177	177	177
98	0.03786	medium	0.023776054	8	5	55	87	87	87
99	0.29941	broad	0.09942007	1	1	1	1	1	1
100	0.29941	broad	0.013810575	4	2	26	37	37	37
101	0.1204	broad	0.015248477	5	2	20	27	27	27
102	0.1204	broad	0.0034016967	9	15	53	76	76	76
103	0.52817	broad	0.017748356	4	1	11	39	39	39
104	0.29941	broad	0.04928267	5	1	21	127	127	127
105	0.1204	broad	0.009445906	6	6	17	83	83	83
106	0.52817	broad	0.10517353	1	1	1	1	1	1
107	0.00216	rare	0.0056892633	9	17	224	299	299	299
108	0.03786	medium	0.014493525	6	2	11	14	14	14
109	0.1204	broad	0.0107601285	6	3	34	87	87	87
110	0.00031	rare	0.041481316	9	126	229	302	302	302
111	0.1204	broad	0.057142973	5	2	4	5	5	5
112	0.00216	rare	0.026453137	10	65	125	160	160	160
113	0.01163	medium	0.03478515	4	5	11	15	15	15
114	0.03786	medium	0.0031987429	8	15	91	102	102	102
115	0.00216	rare	0.010073483	10	22	79	167	167	167
116	0.29941	broad	0.031230927	4	1	5	26	26	26
117	0.52817	broad	0.095097244	1	1	1	1	1	1
118	0.52817	broad	0.006215453	7	2	26	32	32	32
119	1.0e-5	rare	0.04372537	1	247	247	247	247	247
120	0.29941	broad	0.024576366	6	3	14	22	22	22
121	0.03786	medium	0.0043934584	7	5	21	34	34	34
122	0.29941	broad	0.011616945	4	3	4	5	5	5
123	0.52817	broad	0.0052732825	8	6	20	22	22	22
124	0.52817	broad	0.009535074	4	5	27	36	36	36
125	0.03786	medium	0.07120794	5	1	34	297	297	297
126	0.52817	broad	0.011369586	8	9	36	48	48	48
127	0.00216	rare	0.013596296	8	9	20	29	29	29
128	0.03786	medium	0.034656465	6	3	21	72	72	72
129	0.1204	broad	0.014258862	10	21	59	120	120	120
130	0.29941	broad	0.0020582676	6	2	14	92	92	92
131	0.29941	broad	0.04584855	4	1	12	12	12	12
132	0.03786	medium	0.05340159	7	2	42	47	47	47
133	0.03786	medium	0.0011944771	8	23	36	108	108	108
134	0.29941	broad	0.030239165	3	1	2	3	3	3
135	0.01163	medium	0.021767974	7	3	32	136	136	136
136	0.1204	broad	0.016276598	6	3	45	46	46	46
137	0.03786	medium	0.026268661	7	6	47	355	355	355
138	0.03786	medium	0.0044155717	7	5	23	41	41	41
139	0.01163	medium	0.07330239	8	14	29	76	76	76
140	0.00216	rare	0.023000479	10	31	117	162	162	162
141	0.52817	broad	0.118386924	1	1	1	1	1	1
142	0.01163	medium	0.038687646	7	4	16	45	45	45
143	0.52817	broad	0.083606124	3	1	2	5	5	5
144	0.00216	rare	0.002726972	9	40	109	175	175	175
145	0.03786	medium	0.036275506	7	2	43	53	53	53
146	0.03786	medium	0.018628538	8	4	37	56	56	56
147	0.01163	medium	0.015608728	6	3	33	134	134	134
148	0.29941	broad	0.062163174	6	1	46	80	80	80
149	0.52817	broad	0.037602782	9	8	58	70	70	70
150	0.29941	broad	0.014872074	7	6	15	25	25	25
151	0.29941	broad	0.0010733008	9	5	17	52	52	52
152	0.01163	medium	0.07087666	9	23	87	112	112	112
153	0.52817	broad	0.010766029	7	2	10	75	75	75
154	0.03786	medium	0.0466159	4	1	4	25	25	25
155	0.01163	medium	0.025774002	7	15	41	61	61	61
156	0.01163	medium	0.008767009	6	3	11	31	31	31
157	0.29941	broad	0.008764148	10	12	58	61	61	61
158	0.29941	broad	0.033212066	2	1	2	2	2	2
159	0.00216	rare	0.0034350157	9	21	32	46	46	46
160	0.29941	broad	0.0032882094	8	6	22	60	60	60
161	0.1204	broad	0.0016258955	5	2	5	9	9	9
162	0.1204	broad	0.10540241	2	1	1	4	4	4
163	0.52817	broad	0.010639787	6	2	12	37	37	37
164	0.29941	broad	0.00041806698	6	3	15	23	23	23
165	0.00216	rare	0.00081300735	9	78	172	191	191	191
166	0.00216	rare	0.038573503	8	5	14	84	84	84
167	0.03786	medium	0.03340614	7	2	51	109	109	109
168	0.29941	broad	0.06282276	5	1	6	8	8	8
169	0.03786	medium	0.031470776	9	4	12	148	148	148
170	0.52817	broad	0.016187191	3	1	2	18	18	18
171	0.01163	medium	0.017617524	10	13	42	138	138	138
172	0.00216	rare	0.055641353	10	29	106	165	165	165
173	0.52817	broad	0.012934029	6	3	38	39	39	39
174	0.29941	broad	0.027872205	5	3	15	70	70	70
175	0.29941	broad	0.014117479	9	7	20	67	67	67
176	0.1204	broad	0.035321414	6	1	14	44	44	44
177	0.01163	medium	0.016996682	8	26	81	86	86	86
178	0.03786	medium	0.010520518	5	1	94	196	196	196
179	0.52817	broad	0.040141344	5	2	4	25	25	25
180	0.00216	rare	0.007956743	9	37	93	103	103	103
181	0.03786	medium	0.009052277	7	9	103	129	129	129
182	0.01163	medium	0.0031591058	10	10	113	155	155	155
183	0.1204	broad	0.12146062	2	1	1	2	2	2
184	0.01163	medium	0.0051709414	10	17	72	160	160	160
185	0.1204	broad	0.050260782	4	7	19	82	82	82
186	0.00216	rare	0.0037888885	9	14	97	113	113	113
187	0.01163	medium	0.028389454	6	3	32	128	128	128
188	0.29941	broad	0.09876996	3	3	3	18	18	18
189	0.1204	broad	0.041383564	7	3	41	61	61	61
190	0.03786	medium	0.009088218	5	1	6	91	91	91
191	0.29941	broad	0.040706217	5	3	28	30	30	30
192	0.00216	rare	0.009689927	9	35	74	86	86	86
193	0.1204	broad	0.04156077	7	6	15	20	20	20
194	0.01163	medium	0.049869	5	4	14	214	214	214
195	0.03786	medium	0.017743587	7	3	10	207	207	207
196	0.1204	broad	0.05169785	5	1	13	17	17	17
197	0.29941	broad	0.023682833	9	11	91	99	99	99
198	0.1204	broad	0.109351635	2	1	1	2	2	2
199	0.00216	rare	0.034339726	8	11	121	185	185	185
200	0.1204	broad	0.025597632	9	10	63	148	148	148
201	0.00216	rare	0.043536007	9	30	108	184	184	184
202	0.29941	broad	0.095805526	1	1	1	1	1	1
203	0.03786	medium	0.06560242	4	1	4	10	10	10
204	0.29941	broad	0.041508555	4	1	29	29	29	29
205	0.29941	broad	0.009637713	6	2	32	317	317	317
206	0.01163	medium	0.011444688	8	10	50	80	80	80
207	0.52817	broad	0.06337422	4	1	6	7	7	7
208	0.1204	broad	0.013136208	6	4	190	195	195	195
209	0.1204	broad	0.054766893	5	3	8	8	8	8
210	0.03786	medium	0.007540107	7	12	30	41	41	41
211	0.01163	medium	0.0019651651	7	10	66	102	102	102
212	0.1204	broad	0.006392956	7	5	41	43	43	43
213	0.52817	broad	0.032598794	2	1	1	2	2	2
214	0.52817	broad	0.016578555	4	3	4	10	10	10
215	0.52817	broad	0.027911186	5	3	7	9	9	9
216	0.29941	broad	0.017446041	4	1	5	7	7	7
217	0.29941	broad	0.003630042	5	2	16	16	16	16
218	0.01163	medium	0.02086401	7	4	12	37	37	37
219	0.29941	broad	0.0018958449	2	1	2	2	2	2
220	0.52817	broad	0.012941301	4	2	3	4	4	4
221	0.52817	broad	0.03927946	5	1	16	41	41	41
222	0.00216	rare	0.034540415	9	34	139	139	139	139
223	0.1204	broad	0.04790455	8	5	26	55	55	55
224	0.52817	broad	0.024517894	7	3	10	31	31	31
225	0.01163	medium	0.0033339858	9	14	40	113	113	113
226	0.03786	medium	0.025564432	8	4	25	89	89	89
227	0.03786	medium	0.020557463	9	8	35	50	50	50
228	0.03786	medium	0.10498315	5	2	9	76	76	76
229	0.01163	medium	0.056206524	10	21	100	124	124	124
230	0.52817	broad	0.0011034608	4	2	9	20	20	20
231	0.1204	broad	0.039016247	7	3	83	137	137	137
232	0.29941	broad	0.00057405233	6	9	28	66	66	66
233	0.29941	broad	0.075781584	5	1	19	21	21	21
234	0.29941	broad	0.02442652	6	2	9	16	16	16
235	0.29941	broad	0.0178563	10	13	30	66	66	66
236	0.03786	medium	0.037380993	8	5	11	18	18	18
237	0.1204	broad	0.02451551	5	2	38	52	52	52
238	0.01163	medium	0.055093527	7	2	29	52	52	52
239	0.00031	rare	0.0042164326	7	87	127	212	212	212
240	0.03786	medium	0.119786024	2	1	1	14	14	14
241	0.01163	medium	0.0059801936	5	2	192	203	203	203
242	0.52817	broad	0.016339242	6	5	13	25	25	25
243	0.1204	broad	0.0052648783	8	13	20	30	30	30
244	0.29941	broad	0.012524843	6	3	24	43	43	43
245	0.1204	broad	0.008901358	5	3	14	40	40	40
246	0.01163	medium	0.009616375	9	8	25	90	90	90
247	0.1204	broad	0.02397573	7	2	6	18	18	18
248	0.00216	rare	0.001599431	10	30	117	149	149	149
249	0.03786	medium	0.010768354	8	8	26	131	131	131
250	0.29941	broad	0.0149152875	5	1	5	61	61	61
251	0.03786	medium	0.03297901	9	17	211	244	244	244
252	0.00216	rare	0.031510353	9	18	180	367	367	367
253	0.01163	medium	0.027317762	9	11	78	106	106	106
254	0.52817	broad	0.008526623	5	4	26	56	56	56
255	0.00031	rare	0.002250433	10	127	244	255	255	255
256	0.03786	medium	0.008529842	10	26	83	134	134	134
